ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC0156	NCBI	NA	GCF_037070575.1	Cronobacter dublinensis	C21	ASM3707057v1	Lebanon	Asia		Sesame seed based food/processing facility 9	2017	Environmental Samples
ND_NC0157	NCBI	NA	GCA_016085915.1	Cronobacter dublinensis	CFSAN022307	PDT000148463.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0158	NCBI	NA	GCA_016085995.1	Cronobacter dublinensis	CFSAN022309	PDT000148456.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0159	NCBI	NA	GCA_016086035.1	Cronobacter dublinensis	CFSAN022304	PDT000148445.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0160	NCBI	NA	GCA_016086045.1	Cronobacter dublinensis	CFSAN022306	PDT000148442.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0161	NCBI	NA	GCA_016086255.1	Cronobacter dublinensis	CFSAN022303	PDT000148468.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0162	NCBI	NA	GCA_016086335.1	Cronobacter dublinensis	CFSAN022296	PDT000148466.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0163	NCBI	NA	GCA_016086855.1	Cronobacter dublinensis	CFSAN022297	PDT000148479.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0164	NCBI	NA	GCA_016086875.1	Cronobacter dublinensis	CFSAN022294	PDT000148482.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0165	NCBI	NA	GCA_016086975.1	Cronobacter dublinensis	CFSAN022300	PDT000148474.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0166	NCBI	NA	GCA_016087015.1	Cronobacter dublinensis	CFSAN022302	PDT000148451.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0167	NCBI	NA	GCA_016087035.1	Cronobacter dublinensis	CFSAN022308	PDT000148446.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0168	NCBI	NA	GCA_016087115.1	Cronobacter dublinensis	CFSAN022301	PDT000148485.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0169	NCBI	NA	GCA_016087195.1	Cronobacter dublinensis	CFSAN022295	PDT000148484.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0170	NCBI	NA	GCA_016087255.1	Cronobacter dublinensis	CFSAN022305	PDT000148486.4	USA	North America		environmental swab	2014	Environmental Samples
ND_NC0171	NCBI	NA	GCA_037070255.1	Cronobacter dublinensis	C58	ASM3707025v1	Lebanon	Asia		Sesame seed based food/processing facility 25	2017	Environmental Samples
ND_NC0172	NCBI	NA	GCA_037070275.1	Cronobacter dublinensis	C55	ASM3707027v1	Lebanon	Asia		Sesame seed based food/processing facility 24	2017	Environmental Samples
ND_NC0173	NCBI	NA	GCA_037070365.1	Cronobacter dublinensis	C41	ASM3707036v1	Lebanon	Asia		Sesame seed based food/processing facility 19	2017	Environmental Samples
ND_NC0174	NCBI	NA	GCA_037070415.1	Cronobacter dublinensis	C34	ASM3707041v1	Lebanon	Asia		Sesame seed based food/processing facility 15	2017	Environmental Samples
ND_NC0175	NCBI	NA	GCA_037070435.1	Cronobacter dublinensis	C37	ASM3707043v1	Lebanon	Asia		Sesame seed based food/processing facility 16	2017	Environmental Samples
ND_NC0176	NCBI	NA	GCA_037070455.1	Cronobacter dublinensis	C33	ASM3707045v1	Lebanon	Asia		Sesame seed based food/processing facility 14	2017	Environmental Samples
ND_NC0177	NCBI	NA	GCA_037070475.1	Cronobacter dublinensis	C31	ASM3707047v1	Lebanon	Asia		Sesame seed based food/processing facility 12	2017	Environmental Samples
ND_NC0178	NCBI	NA	GCA_037070495.1	Cronobacter dublinensis	C28	ASM3707049v1	Lebanon	Asia		Sesame seed based food/processing facility 11	2017	Environmental Samples
ND_NC0179	NCBI	NA	GCA_037070555.1	Cronobacter dublinensis	C18	ASM3707055v1	Lebanon	Asia		Sesame seed based food/processing facility 8	2017	Environmental Samples
ND_NC0180	NCBI	NA	GCA_037070595.1	Cronobacter dublinensis	C14	ASM3707059v1	Lebanon	Asia		Sesame seed based food/processing facility 6	2017	Environmental Samples
ND_NC0181	NCBI	NA	GCA_037070615.1	Cronobacter dublinensis	C15	ASM3707061v1	Lebanon	Asia		Sesame seed based food/processing facility 7	2017	Environmental Samples
ND_NC0182	NCBI	NA	GCA_037070635.1	Cronobacter dublinensis	C8	ASM3707063v1	Lebanon	Asia		Sesame seed based food/processing facility 5	2017	Environmental Samples
ND_NC0183	NCBI	NA	GCA_037070655.1	Cronobacter dublinensis	C6	ASM3707065v1	Lebanon	Asia		Sesame seed based food/processing facility 4	2017	Environmental Samples
ND_NC0184	NCBI	NA	GCA_037070675.1	Cronobacter dublinensis	C5	ASM3707067v1	Lebanon	Asia		Sesame seed based food/processing facility 3	2017	Environmental Samples
