ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_PM1432	PubMLST	4088	GCA_030055255.1	Cronobacter sakazakii	MOD1_GK1520	CFSAN105818	Germany	Europe		Environmental	2015	Environmental Samples
ND_PM1434	PubMLST	4090	GCA_030735755.1	Cronobacter sakazakii	CFSAN133242	SRS18606232	USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1435	PubMLST	4091	GCA_030735735.1	Cronobacter sakazakii	CFSAN133215	SRS18606225	USA	North America	MI	Powdered infant formula	2023	Food and Food Ingredients
ND_PM1436	PubMLST	4092	GCA_025530355.1	Cronobacter sakazakii	CFSAN127213		USA	North America	MI	environmental	2022	Environmental Samples
ND_PM1438	PubMLST	4094	GCA_030736095.1	Cronobacter sakazakii	CFSAN133223		USA	North America	MI	environmental	2023	Environmental Samples
ND_PM1440	PubMLST	4096	GCA_030721525.1	Cronobacter sakazakii	CFSAN131682		USA	North America	MI	environmental	2023	Environmental Samples
ND_PM1441	PubMLST	4097	GCA_022679245.1	Cronobacter sakazakii	CFSAN121342		USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1442	PubMLST	4098	GCA_030721365.1	Cronobacter sakazakii	CFSAN131675		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1443	PubMLST	4099	GCA_030721465.1	Cronobacter sakazakii	CFSAN131678		USA	North America	MI	Emvironmental	2023	Environmental Samples
ND_PM1445	PubMLST	4101	GCA_030721285.1	Cronobacter sakazakii	2020N-4002		USA	North America		Clinical	2019	Clinical and Medical Samples
ND_PM1446	PubMLST	4102	GCA_030721265.1	Cronobacter sakazakii	2018N-4032		USA	North America		Clinical	2018	Clinical and Medical Samples
ND_PM1447	PubMLST	4103	GCA_030721225.1	Cronobacter sakazakii	2017N-4028A		USA	North America		Clinical	2017	Clinical and Medical Samples
ND_PM1450	PubMLST	4106	GCA_030736675.1	Cronobacter sakazakii	CFSAN133217		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1451	PubMLST	4107	GCA_030735915.1	Cronobacter sakazakii	CFSAN133224		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1453	PubMLST	4109	GCA_030735875.1	Cronobacter sakazakii	CFSAN133214		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1454	PubMLST	4110	GCA_030721565.1	Cronobacter sakazakii	CFSAN131674		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1456	PubMLST	4112	GCA_030735935.1	Cronobacter sakazakii	CFSAN133212		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1457	PubMLST	4113	GCA_030736535.1	Cronobacter sakazakii	CFSAN133241		USA	North America	MI	Environmental	2023	Environmental Samples
